creature_savage_tropical

[OBJECT:CREATURE]

[CREATURE:LION_GIANT]
	[NAME:giant lion:giant lions:giant lion]
	[TILE:'T'][COLOR:6:0:1]
	[MODVALUE:3]
	[LARGE_ROAMING][FREQUENCY:5]
	[POPULATION_NUMBER:2:3]
	[CLUSTER_NUMBER:1:1]
	[LARGE_PREDATOR][SAVAGE]
	[MEANDERER]
	[GENPOWER:2]
	[PETVALUE:200]
	[GRASSTRAMPLE:0][NATURAL][PET]
	[CARNIVORE]
	[PREFSTRING:stripes, of course]
	[BODY:QUADRUPED:TAIL:2EYES:2EARS:NOSE:2LUNGS:HEART:GUTS:ORGANS:THROAT:NECK:SPINE:BRAIN:MOUTH]
	[BODYGLOSS:PAW]
	[SIZE:11]
	[MAXAGE:10:20]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:3][CHILDNAME:giant tiger cub:giant tiger cubs]
	[FAT:3]
	[NOCTURNAL]
	[BIOME:ANY_TROPICAL_FOREST]
	[BIOME:SHRUBLAND_TROPICAL]
	[BIOME:SWAMP_TROPICAL_FRESHWATER]
	[BIOME:SWAMP_TROPICAL_SALTWATER]
	[BIOME:SWAMP_MANGROVE]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[LAYERING:100]
	[SWIMS_INNATE][SWIM_SPEED:2500]

[CREATURE:CHEETAH_GIANT]
	[NAME:giant cheetah:giant cheetahs:giant cheetah]
	[TILE:'c'][COLOR:6:0:1]
	[MODVALUE:3]
	[LARGE_ROAMING]
	[FREQUENCY:5]
	[POPULATION_NUMBER:5:10]
	[CLUSTER_NUMBER:1:1]
	[LARGE_PREDATOR][SAVAGE]
	[MEANDERER]
	[GENPOWER:2]
	[PETVALUE:200]
	[GRASSTRAMPLE:0][NATURAL][PET]
	[CARNIVORE]
	[PREFSTRING:speed]
	[BODY:QUADRUPED:TAIL:2EYES:2EARS:NOSE:2LUNGS:HEART:GUTS:ORGANS:THROAT:NECK:SPINE:BRAIN:MOUTH]
	[BODYGLOSS:PAW]
	[SIZE:8]
	[MAXAGE:10:20]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:3][CHILDNAME:giant cheetah cub:giant cheetah cubs]
	[FAT:3]
	[DIURNAL]
	[BIOME:SAVANNA_TROPICAL]
	[BIOME:GRASSLAND_TROPICAL]
	[BIOME:SHRUBLAND_TROPICAL]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[LAYERING:100]
	[SWIMS_INNATE][SWIM_SPEED:2500]

[CREATURE:SCORPION_DESERT_GIANT]
	[NAME:giant desert scorpion:giant desert scorpions:giant desert scorpion]
	[TILE:'S'][COLOR:6:0:0]
	[MODVALUE:10]
	[LARGE_ROAMING][FREQUENCY:5][DIFFICULTY:3]
	[EXTRACT:giant desert scorpion venom:7:0:1]
	[EXTRACT_VALUE:100]
	[EXTRACT_PARALYZE]
	[EXTRACT_ANTIDOTE:giant desert scorpion antivenin:7:0:0:100]
	[NATURAL][PET_EXOTIC]
	[PARALYZEIMMUNE]
	[GENPOWER:4]
	[BLOODTYPE:W][CHITIN]
	[PETVALUE:2500]
	[GRASSTRAMPLE:10]
	[LARGE_PREDATOR][SAVAGE]
	[CARNIVORE]
	[NOPAIN][EXTRAVISION][NOSTUN][NOEMOTION][NOSKULL][NOBONES]
	[BUILDINGDESTROYER:1]
	[NOFEAR]
	[PREFSTRING:enormous tails]
	[BODY:SPIDER:2EYES:HEART:GUTS:BRAIN:TAIL:TAIL_STINGER:UPPERBODY_PINCERS]
	[SIZE:10]
	[MAXAGE:20:30]
	[ATTACK:MAIN:BYTOKEN:TAIL_STINGER:sting:stings:1:6:PIERCE][SPECIALATTACK_INJECT_EXTRACT:50:100]
	[ATTACK:MAIN:BYTYPE:GRASP:snatch:snatches:1:6:GORE][ATTACKFLAG_CANLATCH][ATTACKFLAG_WITH]
	[FAT:1]
	[ALL_ACTIVE]
	[BIOME:DESERT_BADLAND]
	[BIOME:DESERT_ROCK]
	[BIOME:DESERT_SAND]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]

[CREATURE:TIGERMAN]
	[NAME:tigerman:tigermen:tigerman]
	[TILE:'T'][COLOR:6:0:1]
	[MODVALUE:3]
	[LARGE_ROAMING][FREQUENCY:5]
	[POPULATION_NUMBER:5:10]
	[CLUSTER_NUMBER:1:4]
	[LARGE_PREDATOR][SAVAGE]
	[MEANDERER]
	[GENPOWER:2]
	[PETVALUE:200]
	[CAN_LEARN][CAN_SPEAK][LIKES_FIGHTING]
	[GRASSTRAMPLE:0]
	[CARNIVORE]
	[PREFSTRING:stripes, of course]
	[BODY:HUMANOID:TAIL:2EYES:NOSE:2LUNGS:HEART:GUTS:ORGANS:HUMANOID_JOINTS:THROAT:NECK:SPINE:BRAIN:5FINGERS:5TOES:MOUTH]
	[BODYGLOSS:PAW]
	[SIZE:7]
	[MAXAGE:20:30]
	[ATTACK:MAIN:BYTYPE:MOUTH:bite:bites:1:6:GORE][ATTACKFLAG_CANLATCH]
	[CHILD:3][CHILDNAME:tigerman cub:tigerman cubs]
	[FAT:3]
	[NOCTURNAL]
	[BIOME:ANY_TROPICAL_FOREST]
	[BIOME:SHRUBLAND_TROPICAL]
	[BIOME:SWAMP_TROPICAL_FRESHWATER]
	[BIOME:SWAMP_TROPICAL_SALTWATER]
	[BIOME:SWAMP_MANGROVE]
	[STANDARD_FLESH]
	[HOMEOTHERM:10067]
	[LAYERING:100]
	[SWIMS_INNATE][SWIM_SPEED:2500]
